material,bandgap
Ba3(LiSn2)4,0.0
Li2LaSn,0.0
LiCeSn,0.0
PmLi2Sn,0
EuLi2Sn,0.0
LiErSn,0.0
LiTmSn,0.0
YbLi2Sn,0.07690000000000019
LiSnIr2,0.1468999999999987
LiSn4Ir,0.0
Li2SnPt,0.15830000000000055
LiSnAu2,0.0
Li2Sn2Au,0.0
LiSnAu,0.0
Li2SnAu,0.0
LiSn4Au3,0.0
Li2AcSn,0.03059999999999974
BaLiSb,0.6946999999999997
Li3LaSb2,0.20389999999999997
Li3CeSb2,0.0
Li3PrSb2,0.0
Li3NdSb2,0.0
Li3SmSb2,0.0
Li3DySb2,0.0
Li3HoSb2,0.0
Li2SbPt,0.0
Li2SbAu,0.0
LiAcTe2,0.5574000000000003
LiAuI4,0.7274000000000003
Li2UI6,0.0
LiLa2Os,0
LiLa2Ir,0.0
LiLaHg2,0.0
Li2LaTl,0.0
Li2LaPb,0.0
Li3LaBi2,0.1578999999999997
LiCeTl2,0.0
Li3CeBi2,0.0
LiPr2Os,0.0
LiPrHg2,0.0
Li2PrTl,0.0
LiPrTl2,0
Li2PrPb,0.1509999999999998
Li3PrBi2,0.0
LiNd2Os,0.0
LiNdHg2,0.014000000000000234
LiNdTl2,0.0
Li2NdTl,0.12939999999999996
Pm2LiOs,0
Pm2LiIr,0.0
Pm2LiPt,0
PmLiAu2,0
PmLiHg2,0.0
PmLiTl2,0
PmLi2Tl,0.11169999999999991
PmLi2Pb,0
LiSm2Os,0.0
LiSm2Ir,0
